entidad,ano,consumo_GWh,generacion_GWh,poblacion
Aguascalientes,2013,2428.5,NA,1293332
Aguascalientes,2014,2628.6,NA,1320036
Aguascalientes,2015,2709.4,NA,1344649
Aguascalientes,2016,2752,NA,1367412
Aguascalientes,2017,2863.4,NA,1389971
Aguascalientes,2018,2855.5,NA,1413003
Aguascalientes,2019,2911.3,NA,1436338
Aguascalientes,2020,2667.1,NA,1456050
Aguascalientes,2021,2702.4,NA,1472645
Aguascalientes,2022,2857.9,NA,1491126
Aguascalientes,2023,3101.3,NA,1510839
Baja California,2013,9426.2,12088.263702,3316849
Baja California,2014,9815.6,12366.362014,3350881
Baja California,2015,10011.8,12674.402932,3406162
Baja California,2016,10457.7,12450.185922,3490609
Baja California,2017,10785.7,11998.598372,3581745
Baja California,2018,10823.8,11960.418093,3674434
Baja California,2019,10489.8,11893.083719,3767720
Baja California,2020,10820.1,11649.844511,3838619
Baja California,2021,11925.1,11869.104169,3889925
Baja California,2022,12982.7,12708.175869,3948201
Baja California,2023,13270.8,12803.19706,4010510
Baja California Sur,2013,2059.3,2367.247838,698209
Baja California Sur,2014,2116.5,2281.718587,714281
Baja California Sur,2015,2201.7,2332.849682,730405
Baja California Sur,2016,2342.5,2498.255669,746827
Baja California Sur,2017,2366.8,2443.320298,763394
Baja California Sur,2018,2561.2,2584.453544,780416
Baja California Sur,2019,2595.9,2507.714238,797758
Baja California Sur,2020,2485.9,2451.973665,815098
Baja California Sur,2021,2695.4,2585.326322,831832
Baja California Sur,2022,2843.7,2563.700643,849224
Baja California Sur,2023,3099,2620.28508,867766
Campeche,2013,1258.4,1461.767515,889136
Campeche,2014,1299.3,1278.677806,905316
Campeche,2015,1340.8,947.372726,917075
Campeche,2016,1388.2,1216.092023,923399
Campeche,2017,1340.4,717.610397,927991
Campeche,2018,1315.6,993.12995,932320
Campeche,2019,1388.3,1125.873982,936190
Campeche,2020,1350.1,365.463638,939179
Campeche,2021,1397.1,591.850619,941684
Campeche,2022,1404.1,364.803139,945445
Campeche,2023,1548,872.13588,950291
Coahuila,2013,10455.7,18014.122319,2938067
Coahuila,2014,10551.6,19289.130494,2978928
Coahuila,2015,10462.9,19185.573993,3017320
Coahuila,2016,10211.9,18262.400526,3053932
Coahuila,2017,10393.4,14427.541,3089757
Coahuila,2018,10601.9,14012.330245,3126107
Coahuila,2019,10920.2,10590.158059,3162465
Coahuila,2020,9446.6,6299.555415,3197122
Coahuila,2021,9095.4,5709.564915,3232850
Coahuila,2022,9452.2,5496.067756,3273658
Coahuila,2023,8914.5,5169.92164,3316738
Colima,2013,1735.6,11438.086428,702992
Colima,2014,1759.6,12520.426203,715359
Colima,2015,1787.3,13983.942418,724011
Colima,2016,1842.1,13428.568888,728544
Colima,2017,1963.8,14465.268325,732464
Colima,2018,2025.4,15034.348217,736743
Colima,2019,2058.5,15566.75091,741130
Colima,2020,2090.2,10337.846914,745122
Colima,2021,2108.8,8760.250514,748315
Colima,2022,2127.3,7216.913743,752247
Colima,2023,2226.6,12931.95928,757405
Chiapas,2013,2824.6,11839.939823,5220498
Chiapas,2014,2912.4,17954.590812,5308440
Chiapas,2015,3054.6,11352.157904,5386294
Chiapas,2016,3256.5,10440.616053,5453377
Chiapas,2017,3086,10947.933081,5517445
Chiapas,2018,3096.4,11644.52147,5582946
Chiapas,2019,3339.7,7078.381985,5648179
Chiapas,2020,3240.5,9845.128719,5715260
Chiapas,2021,3299.3,13845.857265,5785553
Chiapas,2022,3366.9,15744.679076,5862882
Chiapas,2023,3607.1,9441.71005,5946352
Chihuahua,2013,10836.1,13849.745034,3561862
Chihuahua,2014,11283.6,15511.327423,3590487
Chihuahua,2015,11786.5,15428.280826,3621545
Chihuahua,2016,12197.4,16059.471798,3657794
Chihuahua,2017,12515.5,14421.563633,3695619
Chihuahua,2018,12699.4,15058.660188,3735414
Chihuahua,2019,12949.7,16297.406522,3775295
Chihuahua,2020,13233,16949.620211,3812627
Chihuahua,2021,13097.2,16166.846323,3851891
Chihuahua,2022,13115.6,18103.660905,3898274
Chihuahua,2023,13491.2,19772.03318,3947936
Ciudad de México,2013,14563,798.48535,9121489
Ciudad de México,2014,14300.6,396.584247,9131261
Ciudad de México,2015,14464.3,719.886216,9152227
Ciudad de México,2016,14500,570.046006,9196836
Ciudad de México,2017,13621.7,814.73648,9246758
Ciudad de México,2018,13432.4,1004.086173,9296268
Ciudad de México,2019,12910.5,874.234691,9343071
Ciudad de México,2020,11354.8,150.668726,9332593
